Time,Ic
0.00285,1.32e-06
0.0028502,1.38e-06
0.0028504,1.5e-06
0.0028506,1.68e-06
0.0028508,1.8e-06
0.002851,1.86e-06
0.0028512,1.86e-06
0.0028514,1.86e-06
0.0028516,1.8e-06
0.0028518,1.92e-06
0.002852,2.04e-06
0.0028522,1.98e-06
0.0028524,2.04e-06
0.0028526,2.04e-06
0.0028528,2.04e-06
0.002853,2.04e-06
0.0028532,1.92e-06
0.0028534,1.86e-06
0.0028536,1.8e-06
0.0028538,1.74e-06
0.002854,1.74e-06
0.0028542,1.86e-06
0.0028544,1.56e-06
0.0028546,1.68e-06
0.0028548,1.56e-06
0.002855,1.56e-06
0.0028552,1.38e-06
0.0028554,1.32e-06
0.0028556,1.32e-06
0.0028558,1.26e-06
0.002856,1.2e-06
0.0028562,1.14e-06
0.0028564,1.14e-06
0.0028566,1.08e-06
0.0028568,1.02e-06
0.002857,1.02e-06
0.0028572,9.6e-07
0.0028574,9.6e-07
0.0028576,9.0e-07
0.0028578,9.0e-07
0.002858,1.02e-06
0.0028582,1.2e-06
0.0028584,1.2e-06
0.0028586,1.2e-06
0.0028588,1.38e-06
0.002859,1.44e-06
0.0028592,1.56e-06
0.0028594,1.68e-06
0.0028596,1.74e-06
0.0028598,1.86e-06
0.00286,1.86e-06
0.0028602,1.92e-06
0.0028604,1.98e-06
0.0028606,1.98e-06
0.0028608,2.1e-06
0.002861,2.1e-06
0.0028612,2.1e-06
0.0028614,2.1e-06
0.0028616,2.1e-06
0.0028618,2.1e-06
0.002862,2.04e-06
0.0028622,2.04e-06
0.0028624,1.92e-06
0.0028626,1.92e-06
0.0028628,1.8e-06
0.002863,1.8e-06
0.0028632,1.74e-06
0.0028634,1.74e-06
0.0028636,1.56e-06
0.0028638,1.62e-06
0.002864,1.56e-06
0.0028642,1.44e-06
0.0028644,1.38e-06
0.0028646,1.32e-06
0.0028648,1.32e-06
0.002865,1.26e-06
0.0028652,1.14e-06
0.0028654,1.08e-06
0.0028656,1.14e-06
0.0028658,1.14e-06
0.002866,1.14e-06
0.0028662,1.08e-06
0.0028664,9.6e-07
0.0028666,9.00000000000001e-07
0.0028668,9.00000000000001e-07
0.002867,9.6e-07
0.0028672,1.2e-06
0.0028674,1.02e-06
0.0028676,1.2e-06
0.0028678,1.38e-06
0.002868,1.38e-06
0.0028682,1.62e-06
0.0028684,1.68e-06
0.0028686,1.74e-06
0.0028688,1.86e-06
0.002869,1.74e-06
0.0028692,1.92e-06
0.0028694,1.98e-06
0.0028696,1.98e-06
0.0028698,2.04e-06
0.00287,2.04e-06
0.0028702,2.16e-06
0.0028704,2.1e-06
0.0028706,2.16e-06
0.0028708,2.16e-06
0.002871,2.16e-06
0.0028712,2.16e-06
0.0028714,2.1e-06
0.0028716,1.98e-06
0.0028718,1.98e-06
0.002872,1.98e-06
0.0028722,1.86e-06
0.0028724,1.74e-06
0.0028726,1.68e-06
0.0028728,1.68e-06
0.002873,1.62e-06
