Time,Ic,
-0.001515,1.75e-05,
-0.0015148,1.59e-05,
-0.0015146,1.47e-05,
-0.0015144,1.38e-05,
-0.0015142,1.36e-05,
-0.001514,1.39e-05,
-0.0015138,1.29e-05,
-0.0015136,1.33e-05,
-0.0015134,1.17e-05,
-0.0015132,1.27e-05,
-0.001513,1.18e-05,
-0.0015128,1.07e-05,
-0.0015126,1.07e-05,
-0.0015124,1.07e-05,
-0.0015122,1.07e-05,
-0.001512,1.09e-05,
-0.0015118,1.11e-05,
-0.0015116,1.1e-05,
-0.0015114,1.14e-05,
-0.0015112,1.18e-05,
-0.001511,1.15e-05,
-0.0015108,1.15e-05,
-0.0015106,1.21e-05,
-0.0015104,1.18e-05,
-0.0015102,1.3e-05,
-0.00151,1.32e-05,
-0.0015098,1.3e-05,
-0.0015096,1.36e-05,
-0.0015094,1.34e-05,
-0.0015092,1.39e-05,
-0.001509,1.41e-05,
-0.0015088,1.46e-05,
-0.0015086,1.5e-05,
-0.0015084,1.59e-05,
-0.0015082,1.56e-05,
-0.001508,1.6e-05,
-0.0015078,1.58e-05,
-0.0015076,1.61e-05,
-0.0015074,1.66e-05,
-0.0015072,1.68e-05,
-0.001507,1.63e-05,
-0.0015068,1.64e-05,
-0.0015066,1.59e-05,
-0.0015064,1.57e-05,
-0.0015062,1.53e-05,
-0.001506,1.42e-05,
-0.0015058,1.43e-05,
-0.0015056,1.28e-05,
-0.0015054,1.19e-05,
-0.0015052,1.29e-05,
-0.001505,1.07e-05,
-0.0015048,1.13e-05,
-0.0015046,1.08e-05,
-0.0015044,1.07e-05,
-0.0015042,1.06e-05,
-0.001504,1.06e-05,
-0.0015038,1.07e-05,
-0.0015036,1.08e-05,
-0.0015034,1.1e-05,
-0.0015032,1.08e-05,
-0.001503,1.12e-05,
-0.0015028,1.19e-05,
-0.0015026,1.15e-05,
-0.0015024,1.2e-05,
-0.0015022,1.27e-05,
-0.001502,1.25e-05,
-0.0015018,1.33e-05,
-0.0015016,1.3e-05,
-0.0015014,1.35e-05,
-0.0015012,1.45e-05,
-0.001501,1.42e-05,
-0.0015008,1.49e-05,
-0.0015006,1.48e-05,
-0.0015004,1.54e-05,
-0.0015002,1.54e-05,
-0.0015,1.52e-05,
-0.0014998,1.54e-05,
-0.0014996,1.64e-05,
-0.0014994,1.66e-05,
-0.0014992,1.68e-05,
-0.001499,1.64e-05,
-0.0014988,1.61e-05,
-0.0014986,1.61e-05,
-0.0014984,1.54e-05,
-0.0014982,1.41e-05,
-0.001498,1.42e-05,
-0.0014978,1.41e-05,
-0.0014976,1.26e-05,
-0.0014974,1.24e-05,
-0.0014972,1.19e-05,
-0.001497,1.1e-05,
-0.0014968,1.06e-05,
-0.0014966,1.06e-05,
-0.0014964,1.07e-05,
-0.0014962,1.06e-05,
-0.001496,1.07e-05,
-0.0014958,1.08e-05,
-0.0014956,1.1e-05,
-0.0014954,1.16e-05,
-0.0014952,1.1e-05,
-0.001495,1.15e-05,
-0.0014948,1.2e-05,
-0.0014946,1.21e-05,
-0.0014944,1.28e-05,
-0.0014942,1.27e-05,
-0.001494,1.28e-05,
-0.0014938,1.37e-05,
-0.0014936,1.33e-05,
-0.0014934,1.35e-05,
-0.0014932,1.43e-05,
-0.001493,1.4e-05,
-0.0014928,1.43e-05,
-0.0014926,1.57e-05,
-0.0014924,1.56e-05,
-0.0014922,1.6e-05,
-0.001492,1.61e-05,
-0.0014918,1.64e-05,
-0.0014916,1.67e-05,
-0.0014914,1.67e-05,
-0.0014912,1.67e-05,
-0.001491,1.64e-05,
-0.0014908,1.6e-05,
-0.0014906,1.64e-05,
-0.0014904,1.54e-05,
-0.0014902,1.47e-05,
-0.00149,1.34e-05,
-0.0014898,1.35e-05,
-0.0014896,1.23e-05,
-0.0014894,1.08e-05,
-0.0014892,1.07e-05,
-0.001489,1.08e-05,
-0.0014888,1.09e-05,
-0.0014886,1.06e-05,
-0.0014884,1.06e-05,
-0.0014882,1.06e-05,
-0.001488,1.06e-05,
-0.0014878,1.07e-05,
-0.0014876,1.07e-05,
-0.0014874,1.11e-05,
-0.0014872,1.13e-05,
-0.001487,1.17e-05,
-0.0014868,1.2e-05,
-0.0014866,1.14e-05,
-0.0014864,1.23e-05,
-0.0014862,1.24e-05,
-0.001486,1.3e-05,
-0.0014858,1.31e-05,
-0.0014856,1.4e-05,
-0.0014854,1.37e-05,
-0.0014852,1.45e-05,
-0.001485,1.44e-05,
